nome_do_problema,algoritmo_utilizado,quantidade_Nos,tempo_de_Execucao,quantidade_memoria_em_mb,caminho,peso_total,solucao_otima,fator_aproximacao
a280,Twice Around the Tree,280,0.11084,5.84,"[1, 280, 2, 3, 279, 278, 4, 277, 276, 275, 274, 273, 272, 271, 16, 17, 18, 19, 20, 21, 128, 127, 126, 125, 30, 31, 32, 29, 28, 27, 26, 22, 25, 23, 24, 33, 34, 124, 123, 122, 121, 120, 119, 157, 158, 159, 160, 175, 161, 162, 163, 164, 165, 166, 167, 168, 169, 101, 100, 99, 102, 103, 104, 105, 106, 107, 173, 174, 108, 110, 111, 114, 113, 87, 84, 83, 82, 81, 80, 79, 85, 65, 64, 66, 67, 70, 71, 72, 73, 74, 75, 76, 77, 78, 68, 69, 115, 117, 118, 61, 60, 43, 42, 41, 40, 39, 38, 37, 35, 36, 62, 63, 59, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 116, 86, 112, 88, 109, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 170, 171, 172, 129, 154, 155, 153, 156, 152, 151, 177, 176, 181, 180, 179, 182, 183, 184, 185, 187, 186, 188, 189, 190, 191, 192, 178, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 200, 201, 196, 195, 202, 203, 204, 205, 148, 147, 146, 145, 199, 198, 197, 194, 193, 149, 150, 266, 265, 264, 263, 262, 261, 260, 259, 258, 257, 254, 253, 208, 207, 210, 211, 214, 215, 218, 219, 222, 212, 213, 216, 217, 220, 221, 209, 206, 252, 255, 256, 249, 248, 250, 251, 230, 229, 228, 227, 226, 225, 224, 223, 247, 244, 241, 240, 239, 238, 237, 236, 235, 245, 246, 231, 232, 233, 234, 243, 242, 267, 268, 269, 270, 6, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 1]",3751.3988440001685,2579.0,1.4545943559519847
a280,Christofides,280,1.07489,0.93,"[1, 280, 2, 242, 243, 244, 241, 240, 239, 238, 237, 236, 235, 234, 233, 232, 231, 246, 245, 247, 250, 249, 248, 279, 3, 4, 277, 276, 6, 5, 7, 8, 9, 10, 11, 12, 13, 14, 24, 23, 25, 22, 26, 27, 28, 29, 31, 30, 125, 124, 123, 122, 121, 120, 119, 157, 158, 159, 160, 175, 161, 162, 163, 164, 165, 166, 167, 168, 169, 101, 100, 99, 98, 93, 92, 91, 90, 109, 89, 108, 104, 103, 102, 105, 106, 107, 173, 174, 172, 171, 170, 110, 111, 114, 113, 87, 84, 83, 82, 81, 79, 78, 77, 75, 74, 73, 72, 71, 70, 67, 66, 65, 64, 59, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 63, 62, 118, 61, 60, 43, 42, 41, 40, 39, 35, 36, 37, 38, 34, 33, 117, 115, 116, 86, 85, 68, 69, 76, 80, 88, 112, 94, 95, 96, 97, 126, 127, 128, 21, 20, 19, 18, 17, 16, 271, 272, 273, 274, 275, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 200, 201, 196, 195, 194, 197, 193, 192, 191, 190, 189, 188, 187, 185, 184, 183, 182, 181, 176, 177, 151, 152, 156, 153, 155, 154, 129, 178, 180, 179, 186, 198, 199, 145, 146, 147, 148, 202, 203, 204, 205, 221, 220, 217, 216, 213, 212, 207, 208, 206, 253, 252, 255, 254, 257, 256, 258, 259, 260, 261, 262, 263, 264, 265, 266, 209, 210, 211, 214, 215, 218, 219, 222, 223, 224, 225, 226, 227, 228, 229, 230, 251, 149, 150, 267, 268, 269, 270, 132, 131, 130, 32, 15, 278, 1]",3622.490225426928,2579.0,1.4046104014838807
berlin52,Twice Around the Tree,52,0.00220,0.12,"[1, 22, 31, 18, 3, 17, 21, 42, 7, 2, 49, 32, 45, 19, 41, 8, 10, 9, 36, 35, 34, 44, 16, 50, 20, 23, 30, 29, 39, 40, 38, 24, 48, 46, 5, 15, 43, 33, 6, 4, 25, 12, 28, 27, 26, 47, 13, 14, 52, 51, 11, 37, 1]",10116.014495510826,7542.0,1.3412907047879643
berlin52,Christofides,52,0.02316,0.01,"[1, 22, 31, 18, 3, 17, 21, 42, 7, 2, 30, 23, 20, 50, 16, 44, 34, 35, 36, 49, 32, 45, 19, 41, 8, 10, 9, 33, 43, 15, 5, 24, 38, 40, 37, 39, 48, 46, 12, 25, 4, 6, 28, 27, 13, 14, 52, 11, 51, 26, 47, 29, 1]",9142.320919924074,7542.0,1.2121878705812879
pr76,Twice Around the Tree,76,0.00646,0.07,"[1, 2, 3, 4, 6, 7, 8, 5, 20, 19, 31, 30, 29, 28, 43, 42, 54, 53, 52, 51, 66, 65, 56, 55, 49, 50, 33, 32, 26, 27, 10, 9, 12, 11, 17, 18, 37, 36, 35, 34, 40, 41, 60, 59, 58, 57, 63, 64, 71, 72, 73, 61, 62, 38, 39, 13, 14, 74, 15, 16, 23, 22, 21, 25, 24, 46, 45, 44, 48, 47, 69, 68, 67, 70, 75, 76, 1]",145338.11445183848,108159.0,1.3437449907251222
pr76,Christofides,76,0.03456,0.01,"[1, 2, 3, 4, 6, 5, 20, 19, 31, 30, 29, 26, 27, 28, 43, 42, 54, 53, 52, 49, 50, 51, 66, 65, 70, 67, 68, 69, 47, 48, 44, 45, 46, 24, 25, 21, 22, 23, 56, 55, 33, 32, 10, 9, 12, 11, 17, 18, 37, 36, 35, 34, 40, 41, 60, 59, 58, 57, 63, 64, 71, 72, 73, 62, 61, 39, 38, 16, 15, 13, 14, 74, 8, 7, 75, 76, 1]",129685.6501811681,108159.0,1.199027821828679
st70,Twice Around the Tree,70,0.00453,0.06,"[1, 36, 23, 38, 59, 22, 63, 66, 57, 15, 24, 69, 31, 13, 29, 70, 35, 16, 47, 37, 58, 50, 10, 52, 60, 12, 21, 34, 17, 43, 41, 6, 42, 18, 4, 2, 7, 32, 3, 8, 28, 14, 20, 30, 26, 49, 55, 19, 68, 44, 9, 40, 61, 45, 39, 25, 27, 46, 33, 54, 62, 48, 67, 56, 65, 64, 51, 11, 5, 53, 1]",873.3514856717352,675.0,1.293854052847015
st70,Christofides,70,0.06285,0.03,"[1, 36, 23, 38, 59, 22, 63, 57, 15, 24, 66, 53, 5, 10, 50, 58, 37, 47, 16, 52, 60, 12, 21, 17, 9, 40, 27, 46, 45, 25, 39, 61, 62, 54, 33, 48, 67, 11, 64, 65, 56, 51, 43, 41, 6, 42, 18, 4, 2, 7, 32, 3, 8, 28, 14, 20, 30, 44, 68, 26, 49, 55, 19, 34, 69, 31, 13, 29, 70, 35, 1]",926.4968855198379,675.0,1.372587978547908
